Name	Type	SQL
Bk	0	SELECT Имена_станций.NAME, [Удельные(Схема)].year, [Удельные(Схема)].Bk | FROM ([Удельные(Схема)] INNER JOIN Имена_станций ON [Удельные(Схема)].numb1120 = Имена_станций.NUMB) INNER JOIN [Станции(Схема)] ON [Удельные(Схема)].numb1120 = [Станции(Схема)].NUMB1120 | WHERE ((([Удельные(Схема)].Bk)>0) AND ((Имена_станций.OES)=2) AND (([Станции(Схема)].YEAR)=2006) AND (([Станции(Схема)].VED)>0)); | 
Bk=0	0	SELECT [Станции(Схема)].NAME, [Станции(Схема)].Year, [Станции(Схема)].NUMB1120, [Удельные(Схема)].snk, [Удельные(Схема)].k, [Станции(Схема)].OBOR, [Удельные(Схема)].btp, [Удельные(Схема)].sntp, [Удельные(Схема)].Bk, [Удельные(Схема)].y, [Станции(Схема)].NUST, Имена_станций.BE, Имена_станций.GK, Имена_станций.OES, Имена_станций.NAME | FROM Имена_станций INNER JOIN ([Удельные(Схема)] INNER JOIN [Станции(Схема)] ON ([Удельные(Схема)].year = [Станции(Схема)].YEAR) AND ([Удельные(Схема)].numb1120 = [...
bt_перспектива	48	UPDATE [Станции(Схема)] INNER JOIN Отчетный_bt ON [Станции(Схема)].NUMB1120 = Отчетный_bt.NUMB1120 SET [Станции(Схема)].TURT = [Отчетный_bt]![TURT] | WHERE ((([Станции(Схема)].YEAR)>2008)); | 
Destination	0	SELECT DISTINCTROW [Станции(Анализ_и_прогноз)].* | FROM [Станции(Анализ_и_прогноз)]; | 
Doptim	48	UPDATE [Параметры-распределения] SET [Параметры-распределения].doptim = 0.05+0.03*([year]-2024); | 
GK	48	UPDATE Имена_станций INNER JOIN [Станции(Схема)] ON Имена_станций.NUMB = [Станции(Схема)].NUMB1120 SET Имена_станций.BE = [Станции(Схема)]![BE], Имена_станций.GK = [Станции(Схема)]![GK] | WHERE ((([Станции(Схема)].YEAR)=2017) AND (([Станции(Схема)].GK)=558)); | 
L1	0	SELECT [Дефициты].[obl], IIf([obl1]=[obl],[obl2],[obl1]) AS oblk, [Перетоки].[id], IIf([Перетоки]![pwork] Is Null,IIf([obl1]=[obl],[pinv],[p]),[Перетоки]![pwork]) AS pwork, IIf([obl1]=[obl],0,1) AS inv, [Дефициты].[year], [Дефициты].[oes], IIf([obl1]=[obl],Sgn([t]),-Sgn([t])) AS dir | FROM Дефициты INNER JOIN Перетоки ON [Дефициты].[year]=[Перетоки].[year] | WHERE ((([Дефициты].[obl])=[введите РЭУ]) And ((IIf([Перетоки]![pwork] Is Null,IIf([obl1]=[obl],[pinv],[p]),[Перетоки]![pwork]))>0) And (([...
L1_РЭУ	0	PARAMETERS [введите РЭУ] IEEEDouble; | SELECT L1.obl, L1.oblk, def.Dwork, def.DN, isb.РЭУ, L1.pwork, isb.Dwork, min2(Abs(min2(1,Abs([Pwork]/def!DN))*def!d),isb!Dwork) AS s, L1.id AS id1 | FROM (L1 INNER JOIN Дефициты_год AS def ON (L1.year = def.year) AND (L1.obl = def.obl)) INNER JOIN Дефициты_год AS isb ON (L1.year = isb.year) AND (L1.oblk = isb.obl) | WHERE (((isb.Dwork)>0)) | ORDER BY isb.nout DESC , min2(Abs(min2(1,Abs([Pwork]/def!DN))*def!d),isb!Dwork) DESC; | 
L1_с_именами	0	SELECT InStr([РЭУ1]![РЭУ],"энерго") AS i1, InStr([РЭУ2]![РЭУ],"энерго") AS i2, Left([РЭУ1]![РЭУ],[i1]-1) & "-" & Left([РЭУ2]![РЭУ],[i2]-1) AS name, L1.obl, L1.oblk | FROM (L1 INNER JOIN Имена_областей AS РЭУ1 ON L1.obl = РЭУ1.OBL) INNER JOIN Имена_областей AS РЭУ2 ON L1.oblk = РЭУ2.OBL; | 
L2	0	SELECT L1.year, L1.obl, L1.oblk AS obli1, IIf([obl1]=[l1]![oblk],[obl2],[obl1]) AS oblk, (min2([pwork1],[L1]![pwork])) AS pwork, L1.id AS id1, Перетоки.id AS id2, IIf([Перетоки]![pwork] Is Null,IIf([obl1]=[l1]![oblk],[pinv],[p]),[Перетоки]![pwork]) AS pwork1, L1.oes, IIf([obl1]=[l1]![oblk],Sgn([t]),-Sgn([t])) AS dir, Перетоки.nc | FROM L1, Перетоки | WHERE (((L1.oblk)=[obl1] Or (L1.oblk)=[obl2]) AND ((IIf([obl1]=[l1]![oblk],[obl2],[obl1]))<>[obl]) AND ((IIf([Перетоки]![pwork] Is Null,IIf([obl1]=...
